YEAR,MONTH,DAY_OF_MONTH,NEIGHBOURHOOD,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION
487,2003,11,4,Mount Pleasant,49.26038189,-123.1130009,22,40,1,1
491,2003,7,3,Kitsilano,49.27081253,-123.1550482,23,24,3,1
493,2003,1,11,Mount Pleasant,49.26005568,-123.1060321,20,0,5,1
501,2003,7,4,Stanley Park,49.29516074,-123.1368381,14,8,4,1
505,2003,8,28,Hastings-Sunrise,49.26937486,-123.0285234,18,11,3,1
511,2003,8,14,Hastings-Sunrise,49.26937486,-123.0285234,14,52,3,1
512,2003,7,23,Hastings-Sunrise,49.26937486,-123.0285234,16,0,2,1
514,2003,2,15,Central Business District,49.27768695,-123.1052863,14,40,5,1
516,2003,4,1,Mount Pleasant,49.26998678,-123.1055998,15,11,1,1
517,2003,7,1,Central Business District,49.28339195,-123.1030021,14,55,1,1
519,2003,1,20,Grandview-Woodland,49.26500126,-123.0736045,11,0,0,1
522,2003,6,1,Hastings-Sunrise,49.26935465,-123.0364412,16,50,6,1
523,2003,4,28,Fairview,49.26422289,-123.1218063,19,35,0,1
524,2003,8,27,Kensington-Cedar Cottage,49.2473909,-123.0699509,20,35,2,1
526,2003,9,26,Central Business District,49.28401144,-123.1138387,11,16,4,1
527,2003,5,15,Central Business District,49.29003125,-123.1290209,21,22,3,1
528,2003,10,9,Central Business District,49.28105802,-123.1075896,2,30,3,1
529,2003,10,31,Shaughnessy,49.24950519,-123.1390972,1,41,4,1
533,2003,4,21,South Cambie,49.24904554,-123.1154071,10,0,0,1
535,2003,8,21,Dunbar-Southlands,49.25012544,-123.1786452,20,0,3,1
536,2003,8,8,Dunbar-Southlands,49.25012544,-123.1786452,10,45,4,1
539,2003,5,5,Dunbar-Southlands,49.25012544,-123.1786452,18,10,0,1
542,2003,10,31,Shaughnessy,49.24960446,-123.146119,7,16,4,1
544,2003,8,5,Marpole,49.20686281,-123.1102292,14,47,1,1
546,2003,2,5,Central Business District,49.28199387,-123.1072066,15,23,2,1
549,2003,9,6,West End,49.28977895,-123.1294053,16,4,5,1
557,2003,5,2,Central Business District,49.28057392,-123.1152194,21,0,4,1
558,2003,11,23,West End,49.2926165,-123.1337311,20,40,6,1
563,2003,11,16,West End,49.2926165,-123.1337311,11,35,6,1
564,2003,8,21,Stanley Park,49.2945021,-123.1366244,7,10,3,1
566,2003,9,4,West End,49.28712986,-123.1253418,15,13,3,1
569,2003,7,23,West End,49.28712986,-123.1253418,7,15,2,1
570,2003,6,6,West End,49.28440884,-123.1210998,17,5,4,1
572,2003,2,14,West End,49.28440884,-123.1210998,9,20,4,1
573,2003,12,17,West End,49.28899768,-123.1282344,15,40,2,1
574,2003,7,19,West End,49.28899768,-123.1282344,18,11,5,1
577,2003,11,26,Central Business District,49.27870583,-123.1122591,0,0,2,1
578,2003,10,30,Mount Pleasant,49.2631795,-123.1128973,15,30,3,1
579,2003,3,5,Kitsilano,49.2638589,-123.1553013,11,20,2,1
580,2003,1,9,Kitsilano,49.2638917,-123.1576517,18,40,3,1
582,2003,5,29,Fairview,49.26339915,-123.1266287,2,30,3,1
587,2003,7,22,Mount Pleasant,49.26304134,-123.1068357,7,30,1,1
589,2003,2,11,Fairview,49.26328938,-123.1199073,8,40,1,1
590,2003,3,18,Fairview,49.26360734,-123.1410336,19,50,1,1
591,2003,11,20,West Point Grey,49.26436245,-123.1858851,12,15,3,1
592,2003,3,20,West Point Grey,49.26436245,-123.1858851,21,27,3,1
593,2003,4,4,Kitsilano,49.26489261,-123.1623832,7,45,4,1
