NEIGHBOURHOOD,COUNT
0,Arbutus Ridge,650
1,Central Business District,11756
2,Dunbar-Southlands,837
3,Fairview,3351
4,Grandview-Woodland,2780
5,Hastings-Sunrise,1879
6,Kensington-Cedar Cottage,2606
7,Kerrisdale,803
8,Killarney,1053
9,Kitsilano,2852
10,Marpole,1320
11,Mount Pleasant,3261
12,Musqueam,56
13,Oakridge,836
14,Renfrew-Collingwood,2869
15,Riley Park,1322
16,Shaughnessy,582
17,South Cambie,530
18,Stanley Park,382
19,Strathcona,2153
20,Sunset,1822
21,Victoria-Fraserview,1191
22,West End,4297
23,West Point Grey,592
