YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
2003,11,4,49.26038189,-123.1130009,22,40,1,1,11
2003,7,3,49.27081253,-123.15504820000001,23,24,3,1,9
2003,1,11,49.26005568,-123.1060321,20,0,5,1,11
2003,7,4,49.29516074,-123.1368381,14,8,4,1,18
2003,8,28,49.26937486,-123.02852340000001,18,11,3,1,5
2003,8,14,49.26937486,-123.02852340000001,14,52,3,1,5
2003,7,23,49.26937486,-123.02852340000001,16,0,2,1,5
2003,2,15,49.27768695,-123.10528629999999,14,40,5,1,1
2003,4,1,49.26998678,-123.1055998,15,11,1,1,11
2003,7,1,49.28339195,-123.1030021,14,55,1,1,1
2003,1,20,49.26500126,-123.07360449999999,11,0,0,1,4
2003,6,1,49.26935465,-123.0364412,16,50,6,1,5
2003,4,28,49.26422289,-123.1218063,19,35,0,1,3
2003,8,27,49.2473909,-123.06995090000001,20,35,2,1,6
2003,9,26,49.28401144,-123.11383870000002,11,16,4,1,1
2003,5,15,49.29003125,-123.1290209,21,22,3,1,1
2003,10,9,49.28105802,-123.1075896,2,30,3,1,1
2003,10,31,49.24950519,-123.13909720000001,1,41,4,1,16
2003,4,21,49.24904554,-123.1154071,10,0,0,1,17
2003,8,21,49.25012544,-123.1786452,20,0,3,1,2
2003,8,8,49.25012544,-123.1786452,10,45,4,1,2
2003,5,5,49.25012544,-123.1786452,18,10,0,1,2
2003,10,31,49.24960446,-123.146119,7,16,4,1,16
2003,8,5,49.20686281,-123.1102292,14,47,1,1,10
2003,2,5,49.28199387,-123.10720659999998,15,23,2,1,1
2003,9,6,49.28977895,-123.1294053,16,4,5,1,22
2003,5,2,49.28057392,-123.11521940000002,21,0,4,1,1
2003,11,23,49.2926165,-123.1337311,20,40,6,1,22
2003,11,16,49.2926165,-123.1337311,11,35,6,1,22
2003,8,21,49.2945021,-123.13662439999999,7,10,3,1,18
2003,9,4,49.28712986,-123.1253418,15,13,3,1,22
2003,7,23,49.28712986,-123.1253418,7,15,2,1,22
2003,6,6,49.28440884,-123.1210998,17,5,4,1,22
2003,2,14,49.28440884,-123.1210998,9,20,4,1,22
2003,12,17,49.28899768,-123.12823440000001,15,40,2,1,22
2003,7,19,49.28899768,-123.12823440000001,18,11,5,1,22
2003,11,26,49.27870583,-123.1122591,0,0,2,1,1
2003,10,30,49.2631795,-123.1128973,15,30,3,1,11
2003,3,5,49.263858899999995,-123.1553013,11,20,2,1,9
2003,1,9,49.2638917,-123.1576517,18,40,3,1,9
2003,5,29,49.26339915,-123.1266287,2,30,3,1,3
2003,7,22,49.26304134,-123.1068357,7,30,1,1,11
2003,2,11,49.26328938,-123.11990729999998,8,40,1,1,3
2003,3,18,49.26360734,-123.14103359999999,19,50,1,1,3
