YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
2004,7,16,49.28140213,-123.10033440000001,19,0,4,1,1
2006,7,17,49.28295267,-123.1213851,23,30,0,1,1
2015,12,23,49.26408904,-123.1152382,13,0,2,1,3
2017,4,8,49.27898532,-123.11280829999998,22,0,5,1,1
2012,11,17,49.27586812,-123.0813318,23,0,5,1,19
2003,3,27,49.25816372,-123.03698590000002,10,30,3,1,14
2006,3,10,49.27820132,-123.124606,23,0,4,1,1
2017,3,13,49.27962311,-123.0633017,0,0,0,1,4
2005,4,19,49.26862832,-123.1838135,18,25,1,1,9
2007,4,28,49.27939258,-123.1169159,17,30,5,1,1
2006,5,9,49.27349304,-123.1224378,13,30,1,1,1
2010,10,18,49.2296396,-123.08134150000001,20,0,0,1,20
2003,2,25,49.26407391,-123.16432040000001,16,48,1,1,9
2009,6,7,49.28248082,-123.1182307,17,0,6,1,1
2011,11,24,49.21532496,-123.06126850000001,8,47,3,1,21
2007,6,15,49.22740056,-123.08389629999999,23,0,4,1,20
2012,3,13,49.22332981,-123.0625278,19,0,1,1,21
2008,12,30,49.26384657,-123.11979099999999,12,0,1,1,3
2015,7,20,49.28079732,-123.1317475,7,12,0,1,22
2008,9,15,49.26771338,-123.0567433,22,30,0,1,4
2017,4,25,49.28148577,-123.1371172,6,11,1,1,22
2009,7,29,49.30082343,-123.1302463,12,30,2,1,18
2016,11,21,49.28114147,-123.1258618,15,0,0,1,1
2011,4,30,49.27572372,-123.1169148,18,0,5,1,1
2010,10,5,49.25878152,-123.0488189,8,15,1,1,14
2008,8,23,49.25949865,-123.1157264,1,0,5,1,3
2005,7,10,49.25474079,-123.09471599999999,22,16,6,1,15
2009,6,22,49.28229119,-123.11832920000002,15,26,0,1,1
2009,11,25,49.25819206,-123.02648459999999,13,30,2,1,14
2011,4,15,49.22112696,-123.10335659999998,19,0,4,1,20
2003,5,22,49.26226976,-123.0682098,12,35,3,1,6
2006,5,12,49.2774,-123.0849592,18,0,4,1,19
2015,9,10,49.25816372,-123.03698590000002,15,39,3,1,14
2011,9,4,49.26209679,-123.13849669999999,21,3,6,1,3
2016,2,9,49.28228084,-123.1144971,7,45,1,1,1
2016,7,20,49.26410767,-123.17251170000002,15,24,2,1,9
2016,11,5,49.2835464,-123.12312490000001,10,36,5,1,22
2008,1,20,49.27453451,-123.11994720000001,22,0,6,1,1
2012,9,27,49.26296669,-123.10296149999999,1,0,3,1,11
2005,7,12,49.2844136,-123.11238090000002,11,12,1,1,1
2003,7,19,49.26409056,-123.1663933,11,6,5,1,9
2017,3,13,49.28394855,-123.10698229999998,21,0,0,1,1
2014,8,24,49.2644366,-123.1311084,20,0,6,1,3
2009,12,2,49.26227520000001,-123.06874909999999,12,26,2,1,6
2009,7,22,49.26428269,-123.03094850000001,11,9,2,1,5
2004,9,10,49.23321317,-123.1082705,23,45,4,1,13
2014,6,15,49.26030881,-123.0962635,22,15,6,1,11
2006,2,14,49.26226976,-123.0682098,13,30,1,1,6
2004,4,3,49.28079732,-123.1317475,0,20,5,1,22
2007,8,1,49.23765353,-123.05868229999999,10,53,2,1,14
2011,3,28,49.25291318,-123.18870109999999,22,30,0,1,2
2006,3,25,49.23696347,-123.03975359999998,17,0,5,1,14
2003,12,15,49.22992273,-123.12069050000001,8,0,0,1,13
2014,7,14,49.2844136,-123.11238090000002,11,54,0,1,1
2005,1,9,49.23257086,-123.101801,11,59,6,1,20
2005,9,28,49.26403982,-123.1682565,12,50,2,1,9
2010,5,20,49.27943787,-123.09980220000001,16,7,3,1,1
2010,9,27,49.26185635,-123.0363837,13,30,0,1,14
2014,10,21,49.282467600000004,-123.1070582,12,29,1,1,1
2004,3,15,49.28966257,-123.0491703,20,0,0,1,5
2003,4,8,49.26382599,-123.0512193,21,0,1,1,5
2004,4,15,49.25279804,-123.18180290000001,22,0,3,1,2
2009,12,28,49.28031169,-123.0691159,16,0,0,1,4
2003,9,4,49.262087799999996,-123.0565284,18,0,3,1,14
2004,2,28,49.29277615,-123.1481254,22,35,5,1,18
2011,1,3,49.28229119,-123.11832920000002,14,8,0,1,1
2012,3,14,49.25582054,-123.0878107,18,30,2,1,6
2006,3,30,49.28176154,-123.1191314,14,52,3,1,1
2010,11,4,49.25241838,-123.0269303,5,45,3,1,14
2003,10,23,49.22237037,-123.04422549999998,18,0,3,1,8
2006,9,20,49.23487929,-123.0367132,15,30,2,1,14
