YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
487,0,10,3,49.26038189,-123.1130009,22,40,0,1,11
491,0,6,2,49.27081253,-123.1550482,23,24,2,1,9
493,0,0,10,49.26005568,-123.1060321,20,0,4,1,11
501,0,6,3,49.29516074,-123.1368381,14,8,3,1,18
505,0,7,27,49.26937486,-123.0285234,18,11,2,1,5
511,0,7,13,49.26937486,-123.0285234,14,52,2,1,5
512,0,6,22,49.26937486,-123.0285234,16,0,1,1,5
514,0,1,14,49.27768695,-123.1052863,14,40,4,1,1
516,0,3,0,49.26998678,-123.1055998,15,11,0,1,11
517,0,6,0,49.28339195,-123.1030021,14,55,0,1,1
519,0,0,19,49.26500126,-123.0736045,11,0,-1,1,4
522,0,5,0,49.26935465,-123.0364412,16,50,5,1,5
523,0,3,27,49.26422289,-123.1218063,19,35,-1,1,3
524,0,7,26,49.2473909,-123.0699509,20,35,1,1,6
526,0,8,25,49.28401144,-123.1138387,11,16,3,1,1
527,0,4,14,49.29003125,-123.1290209,21,22,2,1,1
528,0,9,8,49.28105802,-123.1075896,2,30,2,1,1
529,0,9,30,49.24950519,-123.1390972,1,41,3,1,16
533,0,3,20,49.24904554,-123.1154071,10,0,-1,1,17
535,0,7,20,49.25012544,-123.1786452,20,0,2,1,2
536,0,7,7,49.25012544,-123.1786452,10,45,3,1,2
539,0,4,4,49.25012544,-123.1786452,18,10,-1,1,2
542,0,9,30,49.24960446,-123.146119,7,16,3,1,16
544,0,7,4,49.20686281,-123.1102292,14,47,0,1,10
546,0,1,4,49.28199387,-123.1072066,15,23,1,1,1
549,0,8,5,49.28977895,-123.1294053,16,4,4,1,22
557,0,4,1,49.28057392,-123.1152194,21,0,3,1,1
558,0,10,22,49.2926165,-123.1337311,20,40,5,1,22
563,0,10,15,49.2926165,-123.1337311,11,35,5,1,22
564,0,7,20,49.2945021,-123.1366244,7,10,2,1,18
566,0,8,3,49.28712986,-123.1253418,15,13,2,1,22
569,0,6,22,49.28712986,-123.1253418,7,15,1,1,22
570,0,5,5,49.28440884,-123.1210998,17,5,3,1,22
572,0,1,13,49.28440884,-123.1210998,9,20,3,1,22
573,0,11,16,49.28899768,-123.1282344,15,40,1,1,22
574,0,6,18,49.28899768,-123.1282344,18,11,4,1,22
577,0,10,25,49.27870583,-123.1122591,0,0,1,1,1
578,0,9,29,49.2631795,-123.1128973,15,30,2,1,11
579,0,2,4,49.2638589,-123.1553013,11,20,1,1,9
580,0,0,8,49.2638917,-123.1576517,18,40,2,1,9
582,0,4,28,49.26339915,-123.1266287,2,30,2,1,3
587,0,6,21,49.26304134,-123.1068357,7,30,0,1,11
589,0,1,10,49.26328938,-123.1199073,8,40,0,1,3
590,0,2,17,49.26360734,-123.1410336,19,50,0,1,3
591,0,10,19,49.26436245,-123.1858851,12,15,2,1,23
592,0,2,19,49.26436245,-123.1858851,21,27,2,1,23
593,0,3,3,49.26489261,-123.1623832,7,45,3,1,9
594,0,2,29,49.26489261,-123.1623832,15,30,5,1,9
595,0,11,26,49.26529539,-123.1360764,17,6,4,1,3
