YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
0,11,4,49.26038189,-123.1130009,22,40,1,1,11
0,7,3,49.27081253,-123.1550482,23,24,3,1,9
0,1,11,49.26005568,-123.1060321,20,0,5,1,11
0,7,4,49.29516074,-123.1368381,14,8,4,1,18
0,8,28,49.26937486,-123.0285234,18,11,3,1,5
0,8,14,49.26937486,-123.0285234,14,52,3,1,5
0,7,23,49.26937486,-123.0285234,16,0,2,1,5
0,2,15,49.27768695,-123.1052863,14,40,5,1,1
0,4,1,49.26998678,-123.1055998,15,11,1,1,11
0,7,1,49.28339195,-123.1030021,14,55,1,1,1
0,1,20,49.26500126,-123.0736045,11,0,0,1,4
0,6,1,49.26935465,-123.0364412,16,50,6,1,5
0,4,28,49.26422289,-123.1218063,19,35,0,1,3
0,8,27,49.2473909,-123.0699509,20,35,2,1,6
0,9,26,49.28401144,-123.1138387,11,16,4,1,1
0,5,15,49.29003125,-123.1290209,21,22,3,1,1
0,10,9,49.28105802,-123.1075896,2,30,3,1,1
0,10,31,49.24950519,-123.1390972,1,41,4,1,16
0,4,21,49.24904554,-123.1154071,10,0,0,1,17
0,8,21,49.25012544,-123.1786452,20,0,3,1,2
0,8,8,49.25012544,-123.1786452,10,45,4,1,2
0,5,5,49.25012544,-123.1786452,18,10,0,1,2
0,10,31,49.24960446,-123.146119,7,16,4,1,16
0,8,5,49.20686281,-123.1102292,14,47,1,1,10
0,2,5,49.28199387,-123.1072066,15,23,2,1,1
0,9,6,49.28977895,-123.1294053,16,4,5,1,22
0,5,2,49.28057392,-123.1152194,21,0,4,1,1
0,11,23,49.2926165,-123.1337311,20,40,6,1,22
0,11,16,49.2926165,-123.1337311,11,35,6,1,22
0,8,21,49.2945021,-123.1366244,7,10,3,1,18
0,9,4,49.28712986,-123.1253418,15,13,3,1,22
0,7,23,49.28712986,-123.1253418,7,15,2,1,22
0,6,6,49.28440884,-123.1210998,17,5,4,1,22
0,2,14,49.28440884,-123.1210998,9,20,4,1,22
0,12,17,49.28899768,-123.1282344,15,40,2,1,22
0,7,19,49.28899768,-123.1282344,18,11,5,1,22
0,11,26,49.27870583,-123.1122591,0,0,2,1,1
0,10,30,49.2631795,-123.1128973,15,30,3,1,11
0,3,5,49.2638589,-123.1553013,11,20,2,1,9
0,1,9,49.2638917,-123.1576517,18,40,3,1,9
0,5,29,49.26339915,-123.1266287,2,30,3,1,3
0,7,22,49.26304134,-123.1068357,7,30,1,1,11
0,2,11,49.26328938,-123.1199073,8,40,1,1,3
0,3,18,49.26360734,-123.1410336,19,50,1,1,3
0,11,20,49.26436245,-123.1858851,12,15,3,1,23
0,3,20,49.26436245,-123.1858851,21,27,3,1,23
0,4,4,49.26489261,-123.1623832,7,45,4,1,9
0,3,30,49.26489261,-123.1623832,15,30,6,1,9
0,12,27,49.26529539,-123.1360764,17,6,5,1,3
0,12,27,49.26537061,-123.1408599,22,40,5,1,3
0,8,26,49.26492276,-123.1147431,12,30,1,1,11
0,7,24,49.2647736,-123.1108942,8,0,3,1,11
0,8,30,49.20697184,-123.1346669,8,14,5,1,10
0,1,26,49.20844469,-123.1288634,12,36,6,1,10
0,6,14,49.2084117,-123.1261587,1,40,5,1,10
0,11,5,49.20836882,-123.1242227,16,14,2,1,10
0,1,18,49.20836882,-123.1242227,11,0,5,1,10
